ID	LB	LT	X	Y	Slice	area	circ	solidity	cell type	percentage_LT	percentage_LB	phago interaction	Cluster
42	124	24	80	161	1	33	0.5361	0.8405	LB probable	0	64	0	1
43	75	24	55	162	2	34	0.7413	0.9257	neg	0	30	1	1
44	111	24	139	161	3	31	0.5523	0.8351	LB probable	0	52	0	1
45	26	96	177	163	1	17	0.7122	0.8701	neg	0	0	1	1
46	23	32	162	163	12	54	0.6977	0.9443	neg	0	0	1	1
47	85	32	160	168	6	31	0.7186	0.8921	neg	0	31	1	1
48	72	40	118	169	6	28	0.8795	0.9587	neg	0	54	0	1
49	23	112	106	170	8	42	0.5398	0.8156	LT probable	0	0	0	1
50	44	40	149	172	11	57	0.8433	0.9591	neg	0	0	1	1
51	21	96	109	179	3	35	0.752	0.9059	neg	0	0	1	1
52	39	24	93	181	8	18	0.4157	0.8129	neg	0	0	1	1
53	18	207	208	175	12	35	0.7909	0.9233	LT probable	77	0	1	1
54	131	96	203	184	4	28	0.4067	0.6999	LB probable	0	64	1	1
55	70	64	185	188	4	16	0.7617	0.9061	neg	0	43	1	1
56	80	24	112	190	1	32	0.7832	0.9468	neg	0	33	1	1
57	64	16	64	189	4	32	0.7874	0.9295	neg	0	49	1	1
58	67	16	134	193	1	25	0.6832	0.8772	neg	0	41	1	1
59	21	40	78	200	7	46	0.8144	0.9446	neg	0	0	1	1
60	49	104	132	200	1	10	0.8857	0.9429	LT probable	0	0	1	1
61	142	40	211	201	1	22	0.8094	0.9429	LB probable	0	63	1	1
62	21	32	116	200	12	34	0.8133	0.9396	neg	0	0	1	1
63	82	32	127	210	1	24	0.8766	0.9581	neg	0	48	1	1
64	44	32	105	210	6	23	0.7669	0.9364	neg	0	0	1	1
65	8	143	218	211	3	13	0.7445	0.9184	LT probable	0	0	1	1
66	21	40	112	215	5	38	0.7531	0.9238	neg	0	0	1	1
67	52	48	137	238	2	76	0.5452	0.8569	neg	0	15	0	1
68	31	191	215	237	6	35	0.8428	0.9587	LT probable	61	0	1	1
69	52	24	178	261	3	18	0.7418	0.8964	neg	0	0	1	1
70	62	88	260	264	1	23	0.7518	0.924	neg	0	82	1	0
71	59	32	194	267	1	31	0.3554	0.7423	neg	0	34	1	0
72	23	32	218	274	1	29	0.8277	0.9503	neg	0	0	0	0
73	137	32	181	275	1	26	0.8792	0.9525	LB probable	0	45	0	0
74	49	24	206	286	5	33	0.5347	0.8395	neg	0	0	1	0
75	57	16	221	287	2	8	0.608	0.8253	neg	0	19	1	0
76	85	16	305	315	5	20	0.8081	0.9427	neg	0	60	1	0
77	49	24	155	18	7	40	0.7502	0.9201	neg	0	48	1	1
78	52	40	209	62	8	49	0.8033	0.9453	neg	0	0	0	1
79	129	24	65	72	6	27	0.695	0.8766	LB probable	0	53	0	0
80	5	128	283	144	5	17	0.6796	0.8681	LT probable	0	0	1	0
81	88	143	144	152	5	17	0.8834	0.9424	LT probable	0	38	1	1
82	121	32	39	169	5	21	0.8205	0.9501	LB probable	0	70	0	1
83	52	135	192	175	5	30	0.7479	0.9418	LT probable	0	46	1	1
84	41	24	72	176	5	19	0.8272	0.9306	neg	0	0	0	1
85	23	96	190	182	7	23	0.9114	0.9573	neg	0	0	1	1
86	23	40	183	217	6	28	0.7946	0.9303	neg	0	0	1	1
87	5	135	249	244	7	46	0.841	0.956	LT probable	0	0	1	0
88	31	16	199	282	8	35	0.8557	0.9578	neg	0	0	1	0
89	59	24	204	13	9	31	0.8756	0.9546	neg	0	40	0	1
90	67	32	210	21	7	26	0.7665	0.9278	neg	0	52	0	1
91	26	120	215	85	8	30	0.8808	0.9623	LT probable	0	0	0	1
92	111	32	160	109	7	29	0.7227	0.9139	LB probable	0	62	0	1
93	5	88	288	109	6	24	0.7257	0.8717	neg	0	0	1	0
94	41	32	86	177	9	42	0.8463	0.9566	neg	0	0	1	1
95	5	48	328	180	7	24	0.5638	0.8178	neg	0	0	1	0
96	33	24	106	223	7	26	0.686	0.926	neg	0	0	1	1
97	5	64	313	281	7	29	0.7401	0.9137	neg	0	0	1	0
98	41	56	313	297	6	16	0.8884	0.9557	neg	0	0	0	0
99	46	24	91	41	8	15	0.8371	0.932	neg	0	0	0	0
100	49	24	166	57	9	36	0.5548	0.8052	neg	0	0	0	1
101	59	32	173	58	8	24	0.7811	0.9355	neg	0	36	0	1
102	8	64	310	71	7	18	0.889	0.9511	neg	0	0	1	0
103	126	56	167	84	7	25	0.7602	0.9173	LB probable	0	47	1	1
104	211	24	149	113	7	18	0.8689	0.9375	LB probable	0	64	0	1
105	5	72	288	121	7	27	0.7113	0.9276	neg	0	0	1	0
106	21	32	32	124	9	20	0.6455	0.8326	neg	0	0	0	0
107	62	24	174	127	7	16	0.4514	0.8015	neg	0	47	1	1
108	28	48	197	164	7	16	0.8042	0.9295	neg	0	0	1	1
109	15	40	125	166	10	26	0.8476	0.9503	neg	0	0	0	1
110	62	40	146	187	9	26	0.7845	0.9095	neg	0	44	1	1
111	28	72	165	196	6	36	0.2995	0.6086	neg	0	0	1	1
112	49	24	137	227	8	30	0.6814	0.8862	neg	0	0	0	1
113	41	72	204	236	9	28	0.8274	0.9365	neg	0	0	1	1
114	8	167	262	274	7	19	0.8489	0.9313	LT probable	81	0	1	0
115	106	24	108	12	8	14	0.8681	0.9467	LB probable	0	64	0	1
116	77	24	191	22	11	40	0.8353	0.954	neg	0	39	1	1
117	23	16	41	62	8	12	0.6703	0.8526	neg	0	0	0	0
118	54	64	278	70	8	22	0.8977	0.9492	neg	0	52	1	1
119	15	167	249	76	10	32	0.8524	0.9461	LT probable	58	0	1	1
120	41	40	114	122	9	18	0.8648	0.941	neg	0	0	0	1
121	59	80	131	178	8	14	0.7175	0.8951	neg	0	33	0	1
122	44	183	218	187	9	38	0.6047	0.8806	LT probable	50	0	1	1
123	5	175	274	207	8	12	0.8224	0.9343	LT probable	74	0	1	0
124	15	16	139	249	9	12	0.6017	0.8782	neg	0	0	0	1
125	28	16	251	331	8	27	0.8291	0.9378	neg	0	0	0	0
126	33	16	152	9	9	9	0.8176	0.9149	neg	0	0	1	1
127	21	16	66	25	9	12	0.7521	0.9059	neg	0	0	0	0
128	131	64	302	45	12	39	0.5178	0.8151	LB probable	0	66	0	0
129	13	48	236	49	12	32	0.8122	0.9402	neg	0	0	1	1
130	28	24	149	63	12	36	0.8304	0.9313	neg	0	0	1	1
131	57	40	167	127	9	20	0.7514	0.908	neg	0	58	1	1
132	31	56	220	150	12	51	0.8233	0.9337	neg	0	0	1	1
133	21	48	207	243	11	23	0.7939	0.9391	neg	0	0	1	1
134	31	64	236	264	11	49	0.8187	0.9551	neg	0	0	1	0
135	31	48	340	265	10	11	0.8737	0.9376	neg	0	0	1	0
136	18	40	87	15	9	11	0.8857	0.9413	neg	0	0	0	0
137	149	24	194	31	12	21	0.9041	0.9575	LB probable	0	56	0	1
138	57	64	286	47	12	22	0.6759	0.9043	neg	0	59	1	1
139	77	56	221	73	12	31	0.8452	0.9538	neg	0	44	0	1
140	85	24	171	73	11	16	0.4081	0.7681	neg	0	39	0	1
141	13	48	42	160	11	38	0.8011	0.9426	neg	0	0	0	1
142	64	24	158	83	12	40	0.8164	0.9509	neg	0	66	0	1
143	31	64	214	93	12	25	0.881	0.954	neg	0	0	0	1
144	90	72	227	141	12	32	0.877	0.9503	neg	0	61	1	1
145	18	24	167	152	12	31	0.7952	0.9349	neg	0	0	1	1
146	10	167	214	166	11	13	0.6679	0.8433	LT probable	27	0	1	1
147	10	64	101	167	10	23	0.7373	0.9142	neg	0	0	0	1
148	10	96	119	227	10	9	0.8549	0.9141	neg	0	0	1	1
149	15	24	183	266	12	29	0.7589	0.9443	neg	0	0	1	1
150	31	16	203	22	12	7	0.515	0.8147	neg	0	0	0	1
151	103	32	267	28	11	21	0.7818	0.9141	LB probable	0	62	1	1
152	23	32	181	35	12	16	0.6626	0.865	neg	0	0	0	1
153	49	112	263	38	12	26	0.8082	0.9435	LT probable	0	0	1	1
154	28	32	181	43	12	24	0.4323	0.7893	neg	0	0	0	1
155	54	56	227	67	12	18	0.8398	0.9361	neg	0	57	1	1
156	44	32	156	68	12	21	0.8101	0.943	neg	0	0	0	1
157	8	72	16	81	12	16	0.8597	0.9388	neg	0	0	1	0
158	13	16	72	83	11	9	0.8202	0.9114	neg	0	0	0	0
159	10	48	183	104	12	24	0.698	0.8866	neg	0	0	1	1
160	18	80	173	117	12	20	0.87	0.956	neg	0	0	1	1
161	15	16	23	136	12	14	0.8063	0.916	neg	0	0	0	0
162	41	56	182	143	12	15	0.8924	0.9438	neg	0	0	1	1
163	64	72	256	177	12	24	0.7598	0.9077	neg	0	60	1	1
164	5	40	344	199	12	21	0.6338	0.8592	neg	0	0	1	0
165	31	56	139	205	12	33	0.3313	0.7552	neg	0	0	1	1
166	15	104	255	206	12	30	0.69	0.876	LT probable	0	0	1	0
167	15	32	166	211	12	17	0.7772	0.9049	neg	0	0	1	1
168	8	255	200	213	12	16	0.8223	0.9289	LT probable	79	0	1	1
169	13	167	198	235	12	16	0.8633	0.9409	LT probable	56	0	1	1
170	5	56	243	274	12	18	0.473	0.7647	neg	0	0	1	0
171	18	16	295	314	12	33	0.4477	0.7899	neg	0	0	1	0
